week_bucket,n_samples,mae,coverage,mae_drift_flag,coverage_drift_flag,reference_mae_mean,reference_mae_std
0,1556,154.7899,0.8476328191945157,False,False,174.96606,20.176163
1,1525,195.14223,0.8006284153005465,False,False,174.96606,20.176163
2,1586,214.6693,0.8188051702395964,False,False,174.96606,20.176163
3,1481,171.53186,0.8312232725635831,False,False,174.96606,20.176163
4,1521,161.02028,0.7961045364891519,False,False,174.96606,20.176163
5,1500,125.62599,0.8245555555555555,False,False,174.96606,20.176163
6,1573,128.94136,0.8395316804407714,False,False,174.96606,20.176163
7,1539,123.324326,0.8489820229586312,False,False,174.96606,20.176163
8,1469,106.05624,0.8428919900158838,False,False,174.96606,20.176163
9,1619,132.6493,0.7998764669549104,False,False,174.96606,20.176163
10,1540,125.98881,0.8354707792207792,False,False,174.96606,20.176163
11,1564,115.21959,0.8156170076726342,False,False,174.96606,20.176163
12,1522,213.82945,0.7287286465177398,False,False,174.96606,20.176163
13,5,269.42096,0.7416666666666666,True,False,174.96606,20.176163
